Airline,Flight_Distance,Origin_Airport,Destination_Airport,Scheduled_Departure_Time,Day_of_Week,Month,Airplane_Type,Weather_Score,Previous_Flight_Delay_Minutes,Airline_Rating,Passenger_Load,Flight_Cancelled
3,610,4,0,1,1,5,1,0.329453,48.0,1.750998,0.574546,1
0,519,1,3,1,6,12,1,0.407647,8.0,0.334482,0.019988,1
3,636,3,2,22,7,3,0,0.771147,16.0,3.225123,0.992339,1
1,446,3,0,6,4,4,0,0.432338,14.0,4.027688,0.492192,0
1,586,0,2,5,7,5,2,0.926043,18.0,4.731428,0.475877,1
0,396,3,0,0,4,12,4,0.503218,3.333333,3.432536,0.620914,1
1,373,0,3,11,1,1,2,0.347735,11.0,3.660456,0.007905,1
4,503,4,0,12,7,9,3,0.971572,38.66667,4.477279,0.569138,1
1,487,1,1,11,6,10,1,0.425782,45.33333,4.68189,0.629484,1
3,389,4,0,18,1,10,1,0.231175,28.0,2.456488,0.296954,1
3,576,2,3,8,3,4,0,0.177701,20.0,0.748937,0.726852,1
3,656,2,0,9,6,9,4,0.995181,37.0,2.332087,0.377432,1
3,467,2,0,16,1,4,0,0.752988,18.66667,2.780369,0.717773,0
2,436,3,2,7,7,12,2,0.826363,4.0,4.946423,0.913698,1
0,480,0,0,6,6,5,0,0.646806,15.11111,2.293908,0.98939,0
3,495,2,0,8,5,9,4,0.31739,75.0,1.981821,0.150626,1
1,583,2,0,9,6,3,0,0.743386,73.0,0.567268,0.938454,1
3,491,2,2,11,3,5,0,0.745895,20.0,1.073958,0.55778,1
1,300,1,3,14,1,3,3,0.500169,4.0,0.868998,0.70165,1
0,619,0,0,14,5,12,0,0.145158,44.44444,1.090032,0.945331,1
3,511,1,0,3,3,3,0,0.077022,26.0,4.582446,0.08357,0
0,270,0,0,3,2,1,0,0.888749,39.11111,1.094921,0.190445,1
1,642,4,3,22,6,2,2,0.823476,18.0,2.836387,0.290391,1
1,647,4,0,0,7,2,3,0.67829,6.0,0.895834,0.477204,1
3,392,1,0,11,5,9,4,0.839069,0.0,2.464241,0.346055,1
1,358,4,0,1,7,7,1,0.719487,24.0,4.368139,0.505846,1
0,614,0,0,14,1,8,0,0.996935,4.444444,1.933658,0.209157,1
3,614,4,0,16,1,2,4,0.150398,6.0,0.605954,0.682154,1
3,548,4,1,6,2,9,0,0.387742,17.0,4.510361,0.055735,0
0,455,0,0,5,3,3,0,0.564111,15.11111,0.68457,0.406631,1
4,420,3,3,11,5,10,3,0.297664,9.0,3.328581,0.179033,1
0,560,0,0,18,2,2,0,0.825366,3.555556,0.365957,0.821175,1
1,435,2,0,0,3,12,1,0.912439,57.33333,3.373222,0.883653,1
4,436,3,0,20,4,1,2,0.412482,4.0,0.178507,0.078786,1
1,578,1,0,13,4,9,0,0.941542,8.0,3.003224,0.785038,1
0,598,3,1,3,3,8,4,0.516769,6.666667,3.429701,0.895722,0
0,650,0,0,4,1,12,0,0.622516,53.33333,0.611242,1.095716,1
3,318,0,0,0,1,11,1,0.60022,10.0,4.68488,0.579386,1
3,450,4,1,0,4,4,0,0.268331,3.0,0.229862,0.327392,1
4,465,4,0,20,1,7,2,0.383361,0.0,4.458547,0.321974,0
0,498,2,0,5,7,12,3,0.553237,38.0,1.909487,0.37897,0
4,372,3,3,4,1,3,3,0.941983,24.66667,3.569574,0.612667,1
0,556,0,0,1,3,3,0,0.742693,14.22222,1.628871,0.551509,0
0,688,4,0,20,6,4,2,0.333117,4.0,1.041231,0.653635,1
0,380,0,0,4,3,2,0,0.110469,11.55556,0.797498,0.044228,1
0,518,0,0,8,1,10,0,1.081666,23.11111,1.324184,0.119117,1
0,625,4,2,18,3,4,1,0.492985,24.0,4.432551,0.976539,0
3,476,0,3,20,5,10,3,0.938495,1.333333,4.7743,0.995386,1
2,426,0,2,14,4,3,1,0.549345,24.0,0.102933,0.746659,1
0,517,0,0,12,6,8,0,0.705465,8.0,0.881396,0.288447,1
0,573,0,0,11,5,11,0,0.811912,24.88889,1.67036,1.072554,1
0,373,0,0,4,5,2,0,0.420976,27.55556,1.319324,0.240416,1
2,603,4,1,1,1,11,1,0.698984,48.0,4.715111,0.731431,1
0,478,2,0,3,1,9,0,0.526792,15.0,0.084847,0.115258,1
2,433,2,1,17,5,3,3,0.67248,23.0,2.188697,0.648904,0
4,346,2,2,20,5,4,4,0.835833,6.0,3.344019,0.759515,1
1,434,1,0,9,2,10,0,0.184229,10.0,1.087919,0.85964,1
0,439,0,0,12,2,10,0,0.713551,0.888889,1.814678,0.826094,0
0,380,4,2,11,7,3,2,0.052111,10.0,0.406143,0.923485,1
0,547,0,0,1,4,3,0,0.202115,0.888889,1.327596,0.586039,0
0,514,0,0,14,5,8,0,0.774594,88.0,1.690587,0.762107,1
3,598,0,0,13,3,8,1,0.070938,29.0,1.533786,0.36955,0
1,571,4,0,9,6,6,2,0.595358,5.0,0.369232,0.010389,1
0,435,3,0,21,2,4,0,0.220013,2.0,4.785108,0.756693,0
4,468,4,2,7,1,1,3,0.304085,8.666667,4.569115,0.869861,0
2,425,3,0,14,5,4,1,0.129637,11.0,4.63185,0.173924,1
3,340,2,3,12,3,8,4,0.248667,9.0,4.892512,0.028641,1
2,538,3,0,7,6,6,4,0.821292,18.0,0.92349,0.164502,1
2,516,2,2,20,3,2,0,0.638878,73.0,0.78888,0.895289,1
0,439,0,0,20,7,3,2,0.94976,25.0,0.171073,0.29551,1
0,580,0,0,21,3,12,0,0.148745,19.55556,2.429557,0.262917,0
4,466,4,1,13,1,7,0,0.792412,49.0,3.763814,0.01459,1
0,623,0,0,0,2,11,0,0.799077,0.0,1.583156,0.334187,1
0,484,4,0,12,3,11,4,0.260892,4.0,4.638381,0.715639,0
4,370,1,3,7,6,4,2,0.729167,13.33333,2.875383,0.959089,1
1,652,2,1,17,2,4,1,0.716549,36.0,0.648654,0.312741,1
2,536,3,3,21,7,5,3,0.459345,19.0,1.084322,0.240685,1
0,405,2,0,8,7,8,1,0.68864,5.0,0.66092,0.888069,1
1,459,4,3,12,4,7,4,0.444581,79.0,1.53829,0.852505,1
0,417,0,0,2,1,9,0,0.435546,9.777778,0.948742,0.36918,1
0,599,0,0,17,2,5,0,0.566491,40.88889,1.992098,0.077406,1
0,291,0,0,9,7,1,0,0.995129,58.66667,0.478135,1.115988,1
0,527,0,0,4,7,4,0,0.484584,10.66667,2.013413,0.765792,0
0,328,0,0,5,2,6,1,0.403688,36.66667,2.456143,0.92658,1
3,311,1,0,7,3,6,1,0.608403,37.0,4.9983,0.341874,1
4,541,2,2,23,6,9,0,0.752999,46.66667,3.882912,0.647685,1
3,378,4,0,6,3,10,4,0.734621,5.333333,4.844765,0.674497,1
0,569,0,0,20,6,5,0,0.119799,71.11111,1.055879,0.982019,1
4,596,3,0,17,7,5,4,0.687415,2.0,0.615251,0.993058,1
0,455,0,0,13,7,6,0,0.550554,41.77778,1.26474,0.122249,1
4,548,0,3,14,1,11,0,0.52409,17.0,0.621197,0.631117,1
3,647,4,0,9,2,6,0,0.561663,5.0,2.462259,0.33644,0
4,404,3,0,20,5,3,0,0.73172,2.0,1.349705,0.811658,1
2,586,2,1,11,7,6,1,0.831333,9.333333,2.455236,0.754148,1
2,422,2,3,6,6,8,4,0.646261,9.333333,4.748181,0.892519,1
3,500,4,3,6,6,12,2,0.563907,7.0,1.44517,0.343703,0
1,437,1,0,10,3,6,3,0.373769,7.0,4.96717,0.18453,0
1,441,2,3,12,3,12,0,0.137878,15.0,1.146647,0.021802,0
4,464,4,0,14,7,11,4,0.958578,15.0,1.040542,0.255507,1
0,440,3,3,17,7,5,0,0.461842,17.0,2.723943,0.367172,0
4,486,4,0,6,4,3,0,0.566212,40.0,4.210225,0.946067,1
3,616,2,0,5,6,1,0,0.751073,28.0,3.747518,0.491373,0
0,362,0,0,22,1,5,0,0.16841,0.0,1.808842,0.625994,1
3,542,4,2,10,2,6,0,0.855011,21.0,1.413165,0.880129,1
3,392,0,3,7,2,6,3,0.797026,43.0,0.112584,0.88507,1
3,398,3,3,19,2,6,4,0.774429,1.0,0.808741,0.527916,1
0,314,0,0,0,6,3,0,0.121983,14.22222,0.873683,0.127916,1
1,607,1,0,7,3,4,0,0.526519,18.0,4.858419,0.270516,1
3,475,3,0,7,1,3,0,0.054268,92.0,4.598887,0.456888,1
0,410,0,0,18,2,2,0,0.650873,16.88889,0.501611,0.845066,1
0,512,2,3,2,6,8,1,0.718448,27.33333,3.628112,0.711682,0
0,465,2,2,4,5,7,1,0.12185,6.666667,2.895084,0.642708,0
0,610,1,0,2,7,11,2,0.694883,45.0,0.249213,0.880246,1
2,398,3,1,14,4,8,0,0.449533,11.0,1.858528,0.802646,1
0,485,0,0,13,4,6,0,0.911553,14.22222,1.215184,1.104879,1
3,585,3,1,20,2,11,3,0.533589,12.66667,3.337871,0.889159,0
4,393,1,2,14,3,12,2,0.336122,78.0,1.474526,0.195656,1
0,453,3,0,23,4,7,4,0.331992,1.0,4.669093,0.057617,0
2,372,2,3,16,4,1,1,0.897487,6.0,2.259395,0.414511,1
0,413,0,0,17,4,10,0,0.552872,32.0,0.621324,0.694693,1
0,344,2,2,1,4,5,0,0.405754,25.0,1.58214,0.643103,1
4,393,2,3,11,2,4,0,0.039874,8.0,3.759427,0.267513,1
0,369,0,1,15,6,10,3,0.364325,6.666667,3.201427,0.859881,1
2,433,2,0,3,1,3,3,0.849627,13.0,3.71089,0.329246,1
1,597,1,2,1,1,2,4,0.760988,17.0,1.461709,0.919115,0
3,527,0,0,13,3,9,0,0.220913,51.0,1.834243,0.471601,1
0,629,0,0,10,6,8,0,0.513057,0.0,1.191798,0.011689,0
0,461,0,0,12,7,10,0,0.29658,60.44444,0.471482,0.182296,1
3,410,2,0,6,5,2,3,0.954217,15.0,3.455223,0.102319,1
0,487,1,2,9,1,6,3,0.598118,7.0,1.646748,0.044026,0
0,439,3,0,23,5,3,1,0.754355,21.0,1.631181,0.714017,0
1,541,2,0,0,1,3,2,0.713809,32.0,1.346825,0.192316,0
3,349,3,3,20,1,5,2,0.873689,1.0,2.264139,0.83862,1
3,492,4,1,3,3,7,0,0.949328,37.0,3.85988,0.264469,1
1,650,2,0,17,4,7,1,0.032446,42.0,4.378044,0.032327,1
0,407,0,0,5,3,11,0,1.075301,4.444444,2.01127,0.92326,1
0,455,0,0,1,1,10,0,0.970542,4.444444,1.552984,0.524414,1
4,327,4,1,2,6,1,1,0.382947,6.0,1.402138,0.599505,1
0,610,0,0,13,4,11,0,0.937069,41.77778,1.837138,0.378256,1
0,490,0,2,7,6,7,1,0.736558,9.0,0.19681,0.04604,1
2,447,0,0,15,6,7,0,0.793114,47.0,3.990762,0.370177,1
0,504,0,2,18,6,6,2,0.220691,15.33333,4.101138,0.518286,0
1,492,2,0,17,4,6,3,0.648564,43.0,3.350006,0.011687,1
1,429,2,1,5,6,2,4,0.025926,24.0,0.489627,0.57429,1
0,359,0,0,13,4,3,0,0.948229,7.111111,2.493353,1.004672,1
4,515,4,0,2,5,3,0,0.951043,72.0,3.782046,0.217841,1
0,501,4,0,15,7,3,0,0.662123,24.66667,3.674034,0.926769,0
0,461,0,0,0,1,2,0,0.61267,16.88889,0.16002,0.10981,1
0,469,0,0,11,2,9,0,0.825731,26.66667,0.996763,0.928616,1
1,608,4,2,13,6,6,0,0.326361,28.0,0.630865,0.840324,1
4,529,2,3,18,3,2,3,0.626388,13.0,1.805185,0.25776,0
3,367,2,2,21,5,3,4,0.718973,10.66667,2.852428,0.957843,1
1,628,1,3,18,3,10,2,0.142681,11.0,4.594361,0.416599,0
2,560,4,0,6,4,4,1,0.716138,17.33333,3.117073,0.591714,0
0,420,0,0,13,2,7,0,0.531782,1.777778,0.41163,1.121192,1
0,585,1,0,4,3,6,1,0.889201,21.0,1.769819,0.899292,1
4,518,0,0,17,2,6,2,0.311939,1.0,4.936187,0.278603,0
3,383,2,3,8,1,12,3,0.042431,6.666667,3.738205,0.576987,1
1,528,0,2,20,2,3,0,0.649876,17.0,2.729029,0.115368,0
2,595,2,2,6,6,11,2,0.684239,22.0,1.258484,0.461845,0
0,539,0,0,16,7,6,0,0.623754,2.666667,0.883668,0.54471,1
2,463,0,0,11,7,2,4,0.692633,23.0,0.753164,0.919938,1
4,311,2,0,5,2,1,4,0.043937,50.0,3.976535,0.500138,1
0,564,0,0,17,1,3,0,0.468397,7.111111,0.401898,0.934864,1
3,568,3,0,7,1,3,3,0.210817,41.0,1.147027,0.31739,1
3,496,0,3,20,7,8,2,0.099326,42.0,3.455834,0.971404,1
2,398,4,2,14,2,5,3,0.234093,32.0,4.512584,0.093463,1
3,639,0,1,2,5,1,0,0.191311,7.333333,5.022958,0.585587,0
2,554,4,2,1,4,11,2,0.973131,50.66667,4.180115,0.789888,1
1,560,4,2,23,4,4,3,0.286546,64.0,1.257359,0.814041,1
2,592,4,3,22,4,7,3,0.230959,37.0,1.628556,0.198281,0
2,621,3,0,8,1,5,0,0.834875,13.0,4.353762,0.401646,1
3,532,0,1,7,7,10,4,0.419116,31.33333,4.646665,0.624196,0
3,386,0,0,3,4,6,2,0.421465,11.0,3.203266,0.315883,1
0,431,3,2,1,7,10,2,0.44359,8.0,1.568205,0.658296,0
0,448,2,0,13,1,4,0,0.416535,21.0,1.120283,0.378781,0
0,521,0,0,1,5,9,2,0.286339,48.0,1.226275,0.108068,1
2,431,1,2,21,2,2,2,0.88196,39.0,3.309022,0.039253,1
3,480,3,0,6,7,2,2,0.161707,12.0,4.839767,0.835274,0
0,632,2,3,11,7,12,4,0.181062,11.0,3.726457,0.489544,0
0,561,2,0,5,2,2,0,0.571719,58.0,1.288352,0.562873,1
1,604,2,2,17,1,1,2,0.343659,25.0,1.61253,0.372221,0
1,388,3,0,3,1,12,3,0.421529,50.0,0.464474,0.136742,1
2,479,4,3,18,7,12,4,0.806547,20.0,3.431187,0.449572,1
3,435,4,2,12,5,3,1,0.903631,42.0,2.592178,0.228957,1
1,650,1,2,19,4,6,0,0.790554,60.0,1.032358,0.837683,1
0,486,4,0,20,5,7,3,0.234928,14.0,1.138342,0.986789,0
3,442,4,0,22,2,1,2,0.979971,0.0,0.045123,0.889096,1
3,299,2,0,1,2,5,1,0.363177,5.333333,4.892097,0.528274,1
0,641,2,3,7,6,5,0,0.169067,48.66667,4.340091,0.628132,1
0,645,0,0,18,4,1,0,0.599497,30.22222,0.985425,1.066638,1
0,294,0,0,8,7,4,0,0.825286,23.7037,2.365225,0.606017,1
3,521,1,0,3,2,10,1,0.083271,7.333333,3.5856,0.638589,0
4,594,1,2,15,6,1,3,0.634287,24.0,3.757313,0.62923,0
4,547,3,2,18,1,1,0,0.858078,20.66667,3.399777,0.708121,1
2,456,3,1,9,2,12,3,0.261781,3.333333,3.784244,0.640285,0
0,405,1,1,5,3,7,3,0.693123,103.0,0.854695,0.670705,1
0,616,0,0,15,4,7,0,0.499909,11.55556,1.605995,0.816631,0
2,577,1,0,9,6,3,4,0.414135,7.333333,4.446881,0.809099,0
2,563,4,2,12,4,7,1,0.280814,13.0,0.297713,0.403055,1
2,617,3,1,8,4,3,0,0.624394,2.0,0.617215,0.745834,1
0,718,0,0,6,3,2,0,0.460999,25.77778,0.8141,0.112729,1
0,467,2,2,3,5,10,4,0.830903,8.0,1.473633,0.876188,1
3,467,2,3,18,1,4,0,0.962905,48.0,0.913519,0.290044,1
2,459,4,3,3,4,10,4,0.935088,15.0,3.121652,0.40346,1
0,407,4,2,18,2,3,2,0.163128,18.0,1.470095,0.80361,1
3,619,0,0,18,1,12,4,0.01419,31.0,0.990499,0.636987,1
0,634,0,0,11,2,7,0,0.538468,38.22222,2.264565,0.347206,1
2,606,0,2,12,1,12,1,0.728884,7.0,3.475173,0.225399,0
0,666,4,1,3,7,12,1,0.977455,101.0,1.230294,0.957714,1
2,510,4,3,9,1,1,3,0.783422,29.0,1.804768,0.087776,1
0,537,4,1,20,6,6,2,0.580549,0.0,3.703928,0.004335,0
4,565,2,1,6,2,2,1,0.026353,10.66667,4.15455,0.672935,0
1,458,4,2,4,2,8,4,0.825541,17.0,0.882181,0.614474,1
1,392,2,1,16,7,5,0,0.177145,32.66667,4.68288,0.737614,1
0,514,0,0,17,1,3,0,0.155607,8.888889,2.16318,0.823088,0
2,453,0,1,10,4,10,2,0.850359,8.0,4.284072,0.863259,1
4,716,0,3,14,2,7,3,0.566251,2.0,0.719294,0.922109,1
0,351,0,0,20,7,11,0,0.228552,8.888889,0.358418,0.871903,1
3,494,1,3,21,3,2,2,0.386543,37.0,1.526844,0.232293,0
0,528,3,1,6,3,5,0,0.085542,30.0,0.523232,0.463496,1
3,417,3,1,17,1,11,2,0.638011,2.0,0.455337,0.641715,1
0,454,3,0,5,5,8,4,0.282427,3.0,0.716036,0.539365,1
4,506,1,3,17,1,11,1,0.866094,14.0,3.562149,0.158898,1
0,384,0,0,15,7,1,0,0.457796,35.55556,0.075576,0.662932,1
0,540,0,0,1,1,1,0,0.594634,47.11111,0.208112,0.997345,1
0,657,3,0,18,4,3,1,0.063523,0.0,4.920918,0.418517,0
0,462,4,1,0,4,3,1,0.275593,11.0,0.418283,0.668933,1
0,576,0,0,10,6,7,0,0.776767,14.22222,1.343656,0.692926,1
2,670,4,0,19,7,6,0,0.736263,72.0,3.212866,0.377043,1
0,600,0,0,4,5,7,0,0.342822,11.85185,2.596484,0.63593,1
4,427,1,3,15,7,4,0,0.50382,9.0,4.499014,0.210212,1
2,346,3,3,22,7,11,4,0.817531,14.0,2.203414,0.546107,1
0,468,0,0,0,5,2,0,0.47991,10.07407,2.35541,0.898683,0
2,505,1,1,18,7,2,4,0.133771,22.0,2.361329,0.758948,0
1,293,1,0,13,5,10,2,0.43187,1.0,3.349594,0.357955,1
4,502,2,3,2,5,1,2,0.600629,14.0,1.29804,0.112085,0
0,417,0,1,1,5,9,0,0.007399,20.66667,3.183223,0.799943,1
3,488,3,0,23,7,7,2,0.348568,9.0,2.690945,0.265039,0
0,468,0,0,4,7,10,0,0.707436,23.11111,1.517078,0.059674,0
4,479,0,2,16,1,3,2,0.951912,13.0,3.413256,0.445193,1
3,575,0,0,17,7,2,0,0.408549,42.0,1.067277,0.739471,1
4,400,1,0,0,1,3,0,0.162972,1.0,1.506314,0.808493,1
2,317,4,0,14,6,7,1,0.534219,50.0,3.681207,0.982202,1
0,582,0,0,21,3,5,0,0.385752,4.444444,0.60956,0.213084,1
2,564,1,0,8,3,12,3,0.214779,5.0,1.921201,0.293795,1
0,553,0,0,22,6,3,4,0.590403,36.66667,3.332393,0.60949,0
0,411,1,1,4,6,9,2,0.915884,40.66667,4.688255,0.811344,1
3,561,0,1,12,2,2,3,0.835224,2.0,0.376501,0.234075,1
3,371,4,0,18,1,7,2,0.182293,71.0,2.582804,0.409914,1
4,469,3,2,23,5,10,3,0.765879,9.0,0.409527,0.408401,1
4,651,0,2,9,2,6,2,0.229869,28.0,2.09566,0.772937,0
2,559,4,0,19,4,6,1,0.290701,2.0,1.076933,0.240932,1
3,492,3,3,20,1,7,0,0.920052,9.333333,3.247192,0.968759,1
0,485,2,0,13,7,6,0,0.91105,17.0,3.789163,0.510464,1
4,389,0,0,21,6,2,1,0.168631,27.0,1.236716,0.282067,1
0,662,0,0,20,3,11,0,0.164192,19.55556,1.982218,0.31982,0
0,601,0,0,11,1,5,0,0.393118,16.0,1.317047,0.020587,0
4,579,2,2,10,6,3,3,0.581775,96.0,1.4179,0.692431,1
0,490,0,0,22,1,9,0,0.976892,5.333333,1.308504,0.872942,1
3,463,2,3,6,7,8,4,0.118837,5.0,1.898251,0.032428,0
0,424,1,1,16,1,10,2,0.414959,37.0,1.149981,0.585935,1
3,643,3,0,17,7,11,4,0.27175,1.333333,3.984224,0.781673,0
4,318,3,2,6,1,2,3,0.014929,19.0,3.987621,0.37624,1
4,556,3,0,23,4,1,1,0.788446,19.0,4.001561,0.432742,1
0,342,1,0,19,3,4,2,0.813284,11.0,1.910714,0.361625,1
0,479,0,0,5,1,4,0,0.321229,70.22222,0.423821,0.355107,1
1,497,4,3,10,6,12,2,0.15124,9.0,4.202056,0.491142,0
0,372,2,1,11,4,10,4,0.144561,10.0,1.646319,0.166101,1
1,414,0,1,15,2,11,0,0.463947,8.0,3.740334,0.440688,1
1,572,3,0,18,1,2,3,0.246496,2.666667,4.287253,0.941825,0
2,647,2,2,22,7,7,1,0.511356,13.0,4.040762,0.027402,0
1,531,4,0,18,4,3,4,0.384852,34.0,2.14903,0.164743,0
1,431,0,0,10,5,7,3,0.21089,26.66667,4.690084,0.777702,0
2,403,1,0,15,2,7,1,0.751192,50.0,3.300812,0.132057,1
0,425,0,0,22,3,1,0,0.250364,5.333333,1.439366,0.305191,1
1,497,4,2,11,1,6,4,0.798902,1.0,3.489546,0.454839,1
1,525,0,3,7,1,4,3,0.561446,110.0,0.223636,0.943162,1
0,622,3,2,2,4,11,2,0.832037,0.0,1.952575,0.183501,1
0,492,0,0,1,3,8,0,0.104759,86.22222,2.203043,1.03847,1
0,433,0,3,5,5,8,3,0.749189,52.0,0.805399,0.718525,1
2,387,1,2,15,2,3,0,0.051516,72.0,2.072003,0.671145,1
4,479,4,2,19,6,4,3,0.950099,14.0,2.02624,0.723543,1
1,335,4,3,23,3,1,2,0.702739,6.0,1.780209,0.031247,1
0,439,0,0,14,1,10,0,0.420172,24.0,1.405878,0.111263,0
2,374,4,2,13,4,2,1,0.31985,40.0,4.98099,0.334842,1
0,474,0,0,1,5,7,0,0.961492,3.555556,0.639622,0.083213,1
0,545,0,0,19,4,11,0,0.90284,31.33333,3.524786,0.98759,1
4,538,3,3,17,2,12,2,0.891573,4.666667,3.789975,0.580412,1
3,568,2,3,13,7,7,4,0.80874,20.0,2.922492,0.487344,1
0,407,0,0,17,7,9,0,0.919032,51.55556,0.243689,0.883701,1
0,641,0,0,1,3,10,0,0.672768,5.333333,1.430934,1.099079,0
0,566,0,0,0,4,9,0,0.128231,4.740741,2.583661,1.074521,0
0,562,0,0,19,6,9,0,0.186773,0.888889,1.05515,0.892198,1
3,612,4,0,1,6,6,2,0.649553,4.0,3.198441,0.377174,0
0,517,0,0,8,7,8,0,0.501165,3.555556,2.598494,0.074204,0
3,488,2,3,8,7,9,4,0.56731,6.0,3.989951,0.098377,0
2,634,2,2,15,4,12,2,0.231078,10.0,3.641539,0.001152,0
3,416,3,2,10,1,7,4,0.649417,50.0,4.855744,0.001903,1
0,478,0,0,22,4,4,0,0.34283,65.77778,0.426457,1.053475,1
0,615,0,0,5,5,4,0,0.560813,13.33333,1.931872,1.042894,0
2,479,0,0,11,3,6,3,0.47872,4.0,2.034179,0.667554,0
0,441,4,1,2,2,11,4,0.177668,7.0,1.802158,0.726677,0
1,405,3,0,11,6,4,4,0.876208,39.0,2.603363,0.513208,1
4,523,0,1,22,4,11,1,0.525821,33.0,0.168755,0.237842,1
0,457,0,0,0,5,7,0,0.966784,90.66667,0.781324,1.028683,1
1,548,1,3,8,7,8,3,0.262536,0.0,1.031077,0.277691,1
0,664,2,3,19,6,8,0,0.172336,41.0,0.893454,0.739671,1
3,607,3,0,21,6,8,1,0.018017,21.0,1.886703,0.245436,0
0,267,0,0,5,2,2,0,0.193865,61.33333,2.005661,0.978917,1
0,571,0,0,10,6,10,0,0.247471,22.22222,0.702778,0.732644,1
3,578,0,0,2,5,2,2,0.078856,11.33333,2.857079,0.642695,1
4,470,4,2,3,6,2,4,0.896879,32.0,3.743281,0.097367,1
0,624,1,0,9,6,2,0,0.911438,53.0,1.204858,0.419469,1
4,529,4,2,18,4,4,3,0.937363,6.0,4.621016,0.524909,1
3,305,4,2,5,4,5,4,0.959861,3.0,4.33249,0.294036,1
3,514,3,0,0,7,4,4,0.491835,17.0,1.455891,0.880975,0
3,472,1,1,7,3,5,2,0.530025,4.666667,4.94819,0.83767,0
4,437,0,0,7,1,4,4,0.13083,16.0,3.345855,0.493621,0
4,565,2,2,16,1,10,0,0.772756,16.66667,3.405187,0.801542,0
0,566,0,0,18,1,1,0,0.955729,31.11111,1.665621,0.221503,1
2,569,3,0,0,6,1,2,0.784714,33.0,3.030968,0.071516,1
3,384,4,0,14,7,2,2,0.834576,51.0,3.558481,0.04571,1
4,393,4,0,12,2,1,0,0.27657,86.0,1.341578,0.038683,1
1,526,4,1,20,2,12,4,0.466066,32.0,5.094927,0.488889,0
3,607,1,0,2,6,10,3,0.459199,19.0,4.489479,0.255314,0
0,535,0,0,1,7,12,0,1.095283,9.777778,1.864353,0.776672,1
2,289,3,2,2,5,12,0,0.949178,13.0,0.131525,0.653892,1
0,554,1,3,8,1,10,3,0.598486,8.0,2.951927,0.54202,0
2,344,2,0,15,3,11,4,0.137973,11.0,3.53242,0.352843,1
